Geography,Gender,Age group,Reference period,Net-migration
,,,2016 / 2017,-157
,,,2017 / 2018,-95
,,,2018 / 2019,-92
,,,2019 / 2020,-94
,,,2020 / 2021,-21
,,,2021 / 2022,34
,,,2022 / 2023,-102
,,,2023 / 2024,-4
,,55 to 59 years,2014 / 2015,-128
,,,2015 / 2016,-44
,,,2016 / 2017,-62
,,,2017 / 2018,-4
,,,2018 / 2019,-10
,,,2019 / 2020,1
,,,2020 / 2021,73
,,,2021 / 2022,92
,,,2022 / 2023,-64
,,,2023 / 2024,59
,,60 to 64 years,2014 / 2015,-165
,,,2015 / 2016,-101
,,,2016 / 2017,-18
,,,2017 / 2018,24
,,,2018 / 2019,22
,,,2019 / 2020,51
,,,2020 / 2021,87
,,,2021 / 2022,98
,,,2022 / 2023,-21
,,,2023 / 2024,56
,,65 to 69 years,2014 / 2015,-58
,,,2015 / 2016,-27
,,,2016 / 2017,22
,,,2017 / 2018,56
,,,2018 / 2019,66
,,,2019 / 2020,87
,,,2020 / 2021,47
,,,2021 / 2022,53
,,,2022 / 2023,74
,,,2023 / 2024,56
,,70 to 74 years,2014 / 2015,-121
,,,2015 / 2016,-118
,,,2016 / 2017,-35
,,,2017 / 2018,-26
,,,2018 / 2019,-4
,,,2019 / 2020,-7
,,,2020 / 2021,-24
,,,2021 / 2022,-5
,,,2022 / 2023,-14
,,,2023 / 2024,4
,,75 to 79 years,2014 / 2015,-80
,,,2015 / 2016,-70
,,,2016 / 2017,-48
,,,2017 / 2018,-43
,,,2018 / 2019,-29
,,,2019 / 2020,-29
,,,2020 / 2021,-38
,,,2021 / 2022,3
,,,2022 / 2023,28
,,,2023 / 2024,14
,,80 to 84 years,2014 / 2015,-41
,,,2015 / 2016,-37
,,,2016 / 2017,-13
,,,2017 / 2018,-8
,,,2018 / 2019,-1
,,,2019 / 2020,-4
,,,2020 / 2021,-13
,,,2021 / 2022,-13
,,,2022 / 2023,-4
,,,2023 / 2024,-7
,,85 to 89 years,2014 / 2015,-10
,,,2015 / 2016,-10
,,,2016 / 2017,-24
,,,2017 / 2018,-20
,,,2018 / 2019,-20
,,,2019 / 2020,-19
,,,2020 / 2021,-20
,,,2021 / 2022,-3
,,,2022 / 2023,5
,,,2023 / 2024,5
,,90 years and older,2014 / 2015,-13
,,,2015 / 2016,-11
,,,2016 / 2017,-4
,,,2017 / 2018,-3
,,,2018 / 2019,-2
,,,2019 / 2020,-2
,,,2020 / 2021,-3
,,,2021 / 2022,-22
,,,2022 / 2023,-7
,,,2023 / 2024,-11
,Women,0 years,2014 / 2015,-134
,,,2015 / 2016,-95
,,,2016 / 2017,-80
,,,2017 / 2018,-77
,,,2018 / 2019,-42
,,,2019 / 2020,-56
,,,2020 / 2021,-32
,,,2021 / 2022,51
,,,2022 / 2023,26
,,,2023 / 2024,44
,,1 year,2014 / 2015,-120
,,,2015 / 2016,-87
,,,2016 / 2017,-78
,,,2017 / 2018,-75
,,,2018 / 2019,-39
,,,2019 / 2020,-50
,,,2020 / 2021,-29
,,,2021 / 2022,23
,,,2022 / 2023,1
,,,2023 / 2024,15
,,2 years,2014 / 2015,-113
,,,2015 / 2016,-80
,,,2016 / 2017,-74
,,,2017 / 2018,-71
,,,2018 / 2019,-39
,,,2019 / 2020,-47
,,,2020 / 2021,-25
,,,2021 / 2022,4
,,,2022 / 2023,-25
,,,2023 / 2024,1
,,3 years,2014 / 2015,-106
,,,2015 / 2016,-77
,,,2016 / 2017,-70
,,,2017 / 2018,-70
,,,2018 / 2019,-36
,,,2019 / 2020,-46
,,,2020 / 2021,-25
,,,2021 / 2022,7
,,,2022 / 2023,-48
,,,2023 / 2024,-10
,,4 years,2014 / 2015,-105
,,,2015 / 2016,-73
,,,2016 / 2017,-69
,,,2017 / 2018,-67
,,,2018 / 2019,-35
,,,2019 / 2020,-45
,,,2020 / 2021,-24
,,,2021 / 2022,-31
,,,2022 / 2023,-112
,,,2023 / 2024,-49
,,5 to 9 years,2014 / 2015,-502
,,,2015 / 2016,-370
,,,2016 / 2017,-311
,,,2017 / 2018,-294
,,,2018 / 2019,-167
,,,2019 / 2020,-202
,,,2020 / 2021,-112
,,,2021 / 2022,-271
,,,2022 / 2023,-254
,,,2023 / 2024,-135
,,10 to 14 years,2014 / 2015,-456
,,,2015 / 2016,-345
,,,2016 / 2017,-214
,,,2017 / 2018,-193
,,,2018 / 2019,-96
,,,2019 / 2020,-119
,,,2020 / 2021,-62
,,,2021 / 2022,-245
,,,2022 / 2023,-255
,,,2023 / 2024,-164
,,15 to 19 years,2014 / 2015,-177
,,,2015 / 2016,-34
,,,2016 / 2017,6
,,,2017 / 2018,22
,,,2018 / 2019,93
,,,2019 / 2020,144
,,,2020 / 2021,120
,,,2021 / 2022,-14
,,,2022 / 2023,-160
,,,2023 / 2024,-57
,,20 to 24 years,2014 / 2015,-781
,,,2015 / 2016,-373
,,,2016 / 2017,-315
,,,2017 / 2018,-298
,,,2018 / 2019,-185
,,,2019 / 2020,-54
,,,2020 / 2021,-130
,,,2021 / 2022,-516
,,,2022 / 2023,"-1,208"
,,,2023 / 2024,-392
,,25 to 29 years,2014 / 2015,"-1,726"
,,,2015 / 2016,"-1,359"
,,,2016 / 2017,-536
,,,2017 / 2018,-238
,,,2018 / 2019,-164
,,,2019 / 2020,-174
,,,2020 / 2021,3
,,,2021 / 2022,-773
,,,2022 / 2023,-994
,,,2023 / 2024,-430
,,30 to 34 years,2014 / 2015,"-1,065"
,,,2015 / 2016,-830
,,,2016 / 2017,-663
,,,2017 / 2018,-462
,,,2018 / 2019,-392
,,,2019 / 2020,-470
,,,2020 / 2021,-297
,,,2021 / 2022,-271
,,,2022 / 2023,-504
,,,2023 / 2024,-163
,,35 to 39 years,2014 / 2015,-629
,,,2015 / 2016,-476
,,,2016 / 2017,-539
,,,2017 / 2018,-393
,,,2018 / 2019,-353
,,,2019 / 2020,-411
,,,2020 / 2021,-280
,,,2021 / 2022,-344
,,,2022 / 2023,-512
,,,2023 / 2024,-225
,,40 to 44 years,2014 / 2015,-306
,,,2015 / 2016,-187
,,,2016 / 2017,-357
,,,2017 / 2018,-249
,,,2018 / 2019,-225
,,,2019 / 2020,-263
,,,2020 / 2021,-178
,,,2021 / 2022,-261
,,,2022 / 2023,-468
,,,2023 / 2024,-208
,,45 to 49 years,2014 / 2015,-225
,,,2015 / 2016,-111
,,,2016 / 2017,-234
,,,2017 / 2018,-150
,,,2018 / 2019,-121
,,,2019 / 2020,-157
,,,2020 / 2021,-55
,,,2021 / 2022,-67
,,,2022 / 2023,-155
,,,2023 / 2024,-37
,,50 to 54 years,2014 / 2015,-408
,,,2015 / 2016,-301
,,,2016 / 2017,-94
,,,2017 / 2018,-14
,,,2018 / 2019,31
,,,2019 / 2020,13
,,,2020 / 2021,71
,,,2021 / 2022,26
,,,2022 / 2023,-78
,,,2023 / 2024,9
,,55 to 59 years,2014 / 2015,-207
,,,2015 / 2016,-120
,,,2016 / 2017,-58
,,,2017 / 2018,-2
,,,2018 / 2019,34
,,,2019 / 2020,18
,,,2020 / 2021,73
,,,2021 / 2022,54
,,,2022 / 2023,-15
,,,2023 / 2024,54
,,60 to 64 years,2014 / 2015,-166
,,,2015 / 2016,-86
,,,2016 / 2017,-159
,,,2017 / 2018,-87
,,,2018 / 2019,-53
,,,2019 / 2020,-91
,,,2020 / 2021,-16
,,,2021 / 2022,56
,,,2022 / 2023,29
,,,2023 / 2024,66
,,65 to 69 years,2014 / 2015,-223
,,,2015 / 2016,-237
,,,2016 / 2017,-55
,,,2017 / 2018,-34
,,,2018 / 2019,-36
,,,2019 / 2020,-32
,,,2020 / 2021,19
,,,2021 / 2022,-17
,,,2022 / 2023,29
,,,2023 / 2024,35
,,70 to 74 years,2014 / 2015,-34
,,,2015 / 2016,-32
,,,2016 / 2017,-76
,,,2017 / 2018,-68
,,,2018 / 2019,-60
,,,2019 / 2020,-67
,,,2020 / 2021,-27
,,,2021 / 2022,-29
,,,2022 / 2023,-25
,,,2023 / 2024,-1
,,75 to 79 years,2014 / 2015,-53
,,,2015 / 2016,-59
,,,2016 / 2017,-39
,,,2017 / 2018,-29
,,,2018 / 2019,-38
,,,2019 / 2020,-32
,,,2020 / 2021,-11
,,,2021 / 2022,-43
,,,2022 / 2023,-19
,,,2023 / 2024,-15
,,80 to 84 years,2014 / 2015,-85
,,,2015 / 2016,-103
,,,2016 / 2017,-48
,,,2017 / 2018,-49
,,,2018 / 2019,-46
,,,2019 / 2020,-49
,,,2020 / 2021,-34
,,,2021 / 2022,-38
,,,2022 / 2023,-28
,,,2023 / 2024,-14
,,85 to 89 years,2014 / 2015,-52
,,,2015 / 2016,-56
,,,2016 / 2017,-18
,,,2017 / 2018,-16
,,,2018 / 2019,-16
,,,2019 / 2020,-16
,,,2020 / 2021,-11
,,,2021 / 2022,-26
,,,2022 / 2023,-11
,,,2023 / 2024,-7
,,90 years and older,2014 / 2015,-36
,,,2015 / 2016,-42
,,,2016 / 2017,6
,,,2017 / 2018,13
,,,2018 / 2019,11
,,,2019 / 2020,12
,,,2020 / 2021,13
,,,2021 / 2022,-26
,,,2022 / 2023,-19
,,,2023 / 2024,-9
Ontario,Men,0 years,2014 / 2015,103
,,,2015 / 2016,253
,,,2016 / 2017,241
,,,2017 / 2018,220
,,,2018 / 2019,166
,,,2019 / 2020,196
,,,2020 / 2021,104
,,,2021 / 2022,-116
,,,2022 / 2023,-217
,,,2023 / 2024,-166
,,1 year,2014 / 2015,54
,,,2015 / 2016,201
,,,2016 / 2017,194
,,,2017 / 2018,174
,,,2018 / 2019,119
,,,2019 / 2020,144
,,,2020 / 2021,47
,,,2021 / 2022,-188
,,,2022 / 2023,-212
,,,2023 / 2024,-179
,,2 years,2014 / 2015,11
,,,2015 / 2016,158
,,,2016 / 2017,160
,,,2017 / 2018,136
,,,2018 / 2019,87
,,,2019 / 2020,107
,,,2020 / 2021,9
,,,2021 / 2022,-137
,,,2022 / 2023,-187
,,,2023 / 2024,-123
,,3 years,2014 / 2015,-14
,,,2015 / 2016,123
,,,2016 / 2017,130
,,,2017 / 2018,112
,,,2018 / 2019,68
,,,2019 / 2020,80
,,,2020 / 2021,-15
,,,2021 / 2022,-83
,,,2022 / 2023,-167
,,,2023 / 2024,-109
,,4 years,2014 / 2015,-32
,,,2015 / 2016,97
,,,2016 / 2017,116
,,,2017 / 2018,94
,,,2018 / 2019,54
,,,2019 / 2020,64
,,,2020 / 2021,-25
,,,2021 / 2022,-99
,,,2022 / 2023,-156
,,,2023 / 2024,-107
,,5 to 9 years,2014 / 2015,-171
,,,2015 / 2016,341
,,,2016 / 2017,516
,,,2017 / 2018,453
,,,2018 / 2019,275
,,,2019 / 2020,345
,,,2020 / 2021,8
,,,2021 / 2022,-605
,,,2022 / 2023,-642
,,,2023 / 2024,-482
,,10 to 14 years,2014 / 2015,39
,,,2015 / 2016,434
,,,2016 / 2017,640
,,,2017 / 2018,609
,,,2018 / 2019,470
,,,2019 / 2020,536
,,,2020 / 2021,271
,,,2021 / 2022,-404
,,,2022 / 2023,-674
,,,2023 / 2024,-395
,,15 to 19 years,2014 / 2015,-269
,,,2015 / 2016,388
,,,2016 / 2017,349
,,,2017 / 2018,270
,,,2018 / 2019,201
,,,2019 / 2020,61
,,,2020 / 2021,-695
,,,2021 / 2022,-493
,,,2022 / 2023,-231
,,,2023 / 2024,-299
,,20 to 24 years,2014 / 2015,"-1,885"
,,,2015 / 2016,-293
,,,2016 / 2017,-275
,,,2017 / 2018,-594
,,,2018 / 2019,-441
,,,2019 / 2020,"-1,334"
,,,2020 / 2021,"-3,965"
,,,2021 / 2022,"-2,179"
,,,2022 / 2023,"-1,670"
,,,2023 / 2024,"-2,240"
,,25 to 29 years,2014 / 2015,"-1,132"
,,,2015 / 2016,858
,,,2016 / 2017,"1,278"
,,,2017 / 2018,878
,,,2018 / 2019,951
,,,2019 / 2020,497
,,,2020 / 2021,"-1,307"
,,,2021 / 2022,"-1,404"
,,,2022 / 2023,"-1,260"
,,,2023 / 2024,"-1,373"
,,30 to 34 years,2014 / 2015,-324
,,,2015 / 2016,942
,,,2016 / 2017,"1,528"
,,,2017 / 2018,"1,225"
,,,2018 / 2019,"1,252"
,,,2019 / 2020,"1,062"
,,,2020 / 2021,-222
,,,2021 / 2022,"-1,281"
,,,2022 / 2023,"-1,814"
,,,2023 / 2024,"-1,227"
,,35 to 39 years,2014 / 2015,-179
,,,2015 / 2016,783
,,,2016 / 2017,996
,,,2017 / 2018,787
,,,2018 / 2019,813
,,,2019 / 2020,682
,,,2020 / 2021,-233
,,,2021 / 2022,-724
,,,2022 / 2023,"-1,089"
,,,2023 / 2024,-716
,,40 to 44 years,2014 / 2015,-732
,,,2015 / 2016,98
,,,2016 / 2017,657
,,,2017 / 2018,507
,,,2018 / 2019,538
,,,2019 / 2020,414
,,,2020 / 2021,-284
,,,2021 / 2022,-458
,,,2022 / 2023,-580
,,,2023 / 2024,-362
,,45 to 49 years,2014 / 2015,-256
,,,2015 / 2016,154
,,,2016 / 2017,287
,,,2017 / 2018,159
,,,2018 / 2019,64
,,,2019 / 2020,-41
,,,2020 / 2021,-407
,,,2021 / 2022,-398
,,,2022 / 2023,-524
,,,2023 / 2024,-304
,,50 to 54 years,2014 / 2015,-230
,,,2015 / 2016,100
,,,2016 / 2017,353
,,,2017 / 2018,246
,,,2018 / 2019,151
,,,2019 / 2020,62
,,,2020 / 2021,-253
,,,2021 / 2022,-715
,,,2022 / 2023,-638
,,,2023 / 2024,-485
,,55 to 59 years,2014 / 2015,-275
,,,2015 / 2016,-5
,,,2016 / 2017,155
,,,2017 / 2018,35
,,,2018 / 2019,-52
,,,2019 / 2020,-158
,,,2020 / 2021,-429
,,,2021 / 2022,"-1,368"
,,,2022 / 2023,"-1,120"
,,,2023 / 2024,-887
,,60 to 64 years,2014 / 2015,9
,,,2015 / 2016,189
,,,2016 / 2017,-2
,,,2017 / 2018,-85
,,,2018 / 2019,-154
,,,2019 / 2020,-254
,,,2020 / 2021,-468
,,,2021 / 2022,"-1,464"
,,,2022 / 2023,"-1,354"
,,,2023 / 2024,"-1,046"
,,65 to 69 years,2014 / 2015,-375
,,,2015 / 2016,-394
,,,2016 / 2017,-174
,,,2017 / 2018,-146
,,,2018 / 2019,-242
,,,2019 / 2020,-339
,,,2020 / 2021,-483
,,,2021 / 2022,"-1,120"
,,,2022 / 2023,-962
,,,2023 / 2024,-780
,,70 to 74 years,2014 / 2015,-9
,,,2015 / 2016,-18
,,,2016 / 2017,-100
,,,2017 / 2018,-82
,,,2018 / 2019,-144
,,,2019 / 2020,-201
,,,2020 / 2021,-284
,,,2021 / 2022,-623
,,,2022 / 2023,-475
,,,2023 / 2024,-409
,,75 to 79 years,2014 / 2015,67
,,,2015 / 2016,69
,,,2016 / 2017,-47
,,,2017 / 2018,-28
,,,2018 / 2019,-64
,,,2019 / 2020,-97
,,,2020 / 2021,-152
,,,2021 / 2022,-222
,,,2022 / 2023,-267
,,,2023 / 2024,-181
,,80 to 84 years,2014 / 2015,34
,,,2015 / 2016,31
,,,2016 / 2017,-19
,,,2017 / 2018,-10
,,,2018 / 2019,-28
,,,2019 / 2020,-40
,,,2020 / 2021,-61
,,,2021 / 2022,-84
,,,2022 / 2023,-100
,,,2023 / 2024,-53
,,85 to 89 years,2014 / 2015,46
,,,2015 / 2016,50
,,,2016 / 2017,-29
,,,2017 / 2018,-25
,,,2018 / 2019,-35
,,,2019 / 2020,-46
,,,2020 / 2021,-53
,,,2021 / 2022,-62
,,,2022 / 2023,-36
,,,2023 / 2024,-32
,,90 years and older,2014 / 2015,26
,,,2015 / 2016,23
,,,2016 / 2017,7
,,,2017 / 2018,10
,,,2018 / 2019,6
,,,2019 / 2020,6
,,,2020 / 2021,-4
,,,2021 / 2022,11
,,,2022 / 2023,-13
,,,2023 / 2024,-4
,Women,0 years,2014 / 2015,19
,,,2015 / 2016,207
,,,2016 / 2017,192
,,,2017 / 2018,185
,,,2018 / 2019,129
,,,2019 / 2020,147
,,,2020 / 2021,44
,,,2021 / 2022,-186
,,,2022 / 2023,-274
,,,2023 / 2024,-171
,,1 year,2014 / 2015,-23
,,,2015 / 2016,157
,,,2016 / 2017,187
,,,2017 / 2018,176
,,,2018 / 2019,124
,,,2019 / 2020,135
,,,2020 / 2021,28
,,,2021 / 2022,-165
,,,2022 / 2023,-249
,,,2023 / 2024,-168
,,2 years,2014 / 2015,-49
,,,2015 / 2016,116
,,,2016 / 2017,180
,,,2017 / 2018,168
,,,2018 / 2019,118
,,,2019 / 2020,128
,,,2020 / 2021,19
,,,2021 / 2022,-80
,,,2022 / 2023,-177
,,,2023 / 2024,-118
,,3 years,2014 / 2015,-61
,,,2015 / 2016,90
,,,2016 / 2017,170
,,,2017 / 2018,159
,,,2018 / 2019,113
,,,2019 / 2020,119
,,,2020 / 2021,10
,,,2021 / 2022,-150
,,,2022 / 2023,-154
,,,2023 / 2024,-125
,,4 years,2014 / 2015,-63
,,,2015 / 2016,74
,,,2016 / 2017,163
,,,2017 / 2018,149
,,,2018 / 2019,100
,,,2019 / 2020,112
,,,2020 / 2021,9
,,,2021 / 2022,-139
,,,2022 / 2023,-104
,,,2023 / 2024,-112
,,5 to 9 years,2014 / 2015,-196
,,,2015 / 2016,379
,,,2016 / 2017,652
,,,2017 / 2018,601
,,,2018 / 2019,411
,,,2019 / 2020,451
,,,2020 / 2021,40
,,,2021 / 2022,-548
,,,2022 / 2023,-638
,,,2023 / 2024,-505
,,10 to 14 years,2014 / 2015,150
,,,2015 / 2016,621
,,,2016 / 2017,456
,,,2017 / 2018,423
,,,2018 / 2019,272
,,,2019 / 2020,308
,,,2020 / 2021,-14
,,,2021 / 2022,-549
,,,2022 / 2023,-645
,,,2023 / 2024,-464
,,15 to 19 years,2014 / 2015,-163
,,,2015 / 2016,401
,,,2016 / 2017,445
,,,2017 / 2018,411
,,,2018 / 2019,229
,,,2019 / 2020,147
,,,2020 / 2021,-563
,,,2021 / 2022,-410
,,,2022 / 2023,-289
,,,2023 / 2024,-287
,,20 to 24 years,2014 / 2015,"-1,022"
,,,2015 / 2016,-49
,,,2016 / 2017,220
,,,2017 / 2018,142
,,,2018 / 2019,-227
,,,2019 / 2020,-703
,,,2020 / 2021,"-2,970"
,,,2021 / 2022,"-2,182"
,,,2022 / 2023,"-1,323"
,,,2023 / 2024,"-1,905"
,,25 to 29 years,2014 / 2015,117
,,,2015 / 2016,"1,531"
,,,2016 / 2017,"1,020"
,,,2017 / 2018,806
,,,2018 / 2019,516
,,,2019 / 2020,179
,,,2020 / 2021,"-1,603"
,,,2021 / 2022,"-2,084"
,,,2022 / 2023,"-1,697"
,,,2023 / 2024,"-1,775"
,,30 to 34 years,2014 / 2015,-364
,,,2015 / 2016,552
,,,2016 / 2017,"1,041"
,,,2017 / 2018,847
,,,2018 / 2019,649
,,,2019 / 2020,482
,,,2020 / 2021,-719
,,,2021 / 2022,"-1,316"
,,,2022 / 2023,"-1,816"
,,,2023 / 2024,"-1,276"
,,35 to 39 years,2014 / 2015,-184
,,,2015 / 2016,465
,,,2016 / 2017,922
,,,2017 / 2018,806
,,,2018 / 2019,654
,,,2019 / 2020,592
,,,2020 / 2021,-265
,,,2021 / 2022,-953
,,,2022 / 2023,-959
,,,2023 / 2024,-759
,,40 to 44 years,2014 / 2015,-382
,,,2015 / 2016,102
,,,2016 / 2017,706
,,,2017 / 2018,634
,,,2018 / 2019,531
,,,2019 / 2020,509
,,,2020 / 2021,-128
,,,2021 / 2022,-789
,,,2022 / 2023,-772
,,,2023 / 2024,-606
,,45 to 49 years,2014 / 2015,-213
,,,2015 / 2016,18
,,,2016 / 2017,83
,,,2017 / 2018,-39
,,,2018 / 2019,-132
,,,2019 / 2020,-207
,,,2020 / 2021,-518
,,,2021 / 2022,-724
,,,2022 / 2023,-631
,,,2023 / 2024,-458
,,50 to 54 years,2014 / 2015,-34
,,,2015 / 2016,156
,,,2016 / 2017,-27
,,,2017 / 2018,-144
,,,2018 / 2019,-248
,,,2019 / 2020,-336
,,,2020 / 2021,-645
,,,2021 / 2022,"-1,104"
,,,2022 / 2023,-880
,,,2023 / 2024,-709
,,55 to 59 years,2014 / 2015,-255
,,,2015 / 2016,-105
,,,2016 / 2017,31
,,,2017 / 2018,-88
,,,2018 / 2019,-181
,,,2019 / 2020,-265
,,,2020 / 2021,-547
,,,2021 / 2022,"-1,505"
,,,2022 / 2023,"-1,391"
,,,2023 / 2024,"-1,092"
,,60 to 64 years,2014 / 2015,-370
,,,2015 / 2016,-239
,,,2016 / 2017,23
,,,2017 / 2018,-76
,,,2018 / 2019,-153
,,,2019 / 2020,-213
,,,2020 / 2021,-477
,,,2021 / 2022,"-1,696"
,,,2022 / 2023,"-1,361"
,,,2023 / 2024,"-1,173"
,,65 to 69 years,2014 / 2015,37
,,,2015 / 2016,23
,,,2016 / 2017,-186
,,,2017 / 2018,-235
,,,2018 / 2019,-288
,,,2019 / 2020,-389
,,,2020 / 2021,-632
,,,2021 / 2022,"-1,123"
,,,2022 / 2023,-917
,,,2023 / 2024,-774
,,70 to 74 years,2014 / 2015,-49
,,,2015 / 2016,-61
,,,2016 / 2017,-36
,,,2017 / 2018,-64
,,,2018 / 2019,-88
,,,2019 / 2020,-139
,,,2020 / 2021,-268
,,,2021 / 2022,-567
,,,2022 / 2023,-447
,,,2023 / 2024,-391
,,75 to 79 years,2014 / 2015,-37
,,,2015 / 2016,-31
,,,2016 / 2017,-24
,,,2017 / 2018,-32
,,,2018 / 2019,-53
,,,2019 / 2020,-89
,,,2020 / 2021,-169
,,,2021 / 2022,-238
,,,2022 / 2023,-278
,,,2023 / 2024,-197
,,80 to 84 years,2014 / 2015,-146
,,,2015 / 2016,-167
,,,2016 / 2017,3
,,,2017 / 2018,-1
,,,2018 / 2019,-12
,,,2019 / 2020,-27
,,,2020 / 2021,-74
,,,2021 / 2022,-93
,,,2022 / 2023,-107
,,,2023 / 2024,-69
,,85 to 89 years,2014 / 2015,27
,,,2015 / 2016,25
,,,2016 / 2017,24
,,,2017 / 2018,24
,,,2018 / 2019,14
,,,2019 / 2020,4
,,,2020 / 2021,-35
,,,2021 / 2022,-36
,,,2022 / 2023,-95
,,,2023 / 2024,-46
,,90 years and older,2014 / 2015,47
,,,2015 / 2016,44
,,,2016 / 2017,-30
,,,2017 / 2018,-41
,,,2018 / 2019,-43
,,,2019 / 2020,-49
,,,2020 / 2021,-72
,,,2021 / 2022,-30
,,,2022 / 2023,-11
,,,2023 / 2024,-23
Manitoba,Men,0 years,2014 / 2015,-74
,,,2015 / 2016,-59
,,,2016 / 2017,-44
,,,2017 / 2018,-77
,,,2018 / 2019,-73
,,,2019 / 2020,-79
,,,2020 / 2021,-91
,,,2021 / 2022,-89
,,,2022 / 2023,-55
,,,2023 / 2024,-46
,,1 year,2014 / 2015,-65
,,,2015 / 2016,-51
,,,2016 / 2017,-22
,,,2017 / 2018,-54
,,,2018 / 2019,-48
,,,2019 / 2020,-53
,,,2020 / 2021,-61
,,,2021 / 2022,-109
,,,2022 / 2023,-113
,,,2023 / 2024,-75
,,2 years,2014 / 2015,-57
,,,2015 / 2016,-43
,,,2016 / 2017,-9
,,,2017 / 2018,-39
,,,2018 / 2019,-32
,,,2019 / 2020,-37
,,,2020 / 2021,-40
,,,2021 / 2022,-83
,,,2022 / 2023,-85
,,,2023 / 2024,-55
,,3 years,2014 / 2015,-49
,,,2015 / 2016,-36
,,,2016 / 2017,-3
,,,2017 / 2018,-26
,,,2018 / 2019,-21
,,,2019 / 2020,-24
,,,2020 / 2021,-25
,,,2021 / 2022,-108
,,,2022 / 2023,-91
,,,2023 / 2024,-73
,,4 years,2014 / 2015,-43
,,,2015 / 2016,-31
,,,2016 / 2017,1
,,,2017 / 2018,-20
,,,2018 / 2019,-16
,,,2019 / 2020,-18
,,,2020 / 2021,-18
,,,2021 / 2022,-70
,,,2022 / 2023,-99
,,,2023 / 2024,-60
,,5 to 9 years,2014 / 2015,-159
,,,2015 / 2016,-113
,,,2016 / 2017,-38
,,,2017 / 2018,-138
,,,2018 / 2019,-119
,,,2019 / 2020,-132
,,,2020 / 2021,-144
,,,2021 / 2022,-458
,,,2022 / 2023,-487
,,,2023 / 2024,-324
,,10 to 14 years,2014 / 2015,-137
,,,2015 / 2016,-93
,,,2016 / 2017,-225
,,,2017 / 2018,-314
,,,2018 / 2019,-293
,,,2019 / 2020,-325
,,,2020 / 2021,-304
,,,2021 / 2022,-379
,,,2022 / 2023,-359
,,,2023 / 2024,-254
,,15 to 19 years,2014 / 2015,-147
,,,2015 / 2016,-97
,,,2016 / 2017,-180
,,,2017 / 2018,-286
,,,2018 / 2019,-290
,,,2019 / 2020,-289
,,,2020 / 2021,94
,,,2021 / 2022,-255
,,,2022 / 2023,-295
,,,2023 / 2024,-168
,,20 to 24 years,2014 / 2015,-413
,,,2015 / 2016,-290
,,,2016 / 2017,-177
,,,2017 / 2018,-348
,,,2018 / 2019,-407
,,,2019 / 2020,-294
,,,2020 / 2021,"1,370"
,,,2021 / 2022,"1,205"
,,,2022 / 2023,364
,,,2023 / 2024,985
,,25 to 29 years,2014 / 2015,-370
,,,2015 / 2016,-152
,,,2016 / 2017,-384
,,,2017 / 2018,-558
,,,2018 / 2019,-641
,,,2019 / 2020,-715
,,,2020 / 2021,-384
,,,2021 / 2022,-380
,,,2022 / 2023,-741
,,,2023 / 2024,-286
,,30 to 34 years,2014 / 2015,-472
,,,2015 / 2016,-311
,,,2016 / 2017,-371
,,,2017 / 2018,-499
,,,2018 / 2019,-563
,,,2019 / 2020,-627
,,,2020 / 2021,-383
,,,2021 / 2022,-658
,,,2022 / 2023,-756
,,,2023 / 2024,-456
,,35 to 39 years,2014 / 2015,-400
,,,2015 / 2016,-291
,,,2016 / 2017,-288
,,,2017 / 2018,-376
,,,2018 / 2019,-423
,,,2019 / 2020,-476
,,,2020 / 2021,-300
,,,2021 / 2022,-616
,,,2022 / 2023,-721
,,,2023 / 2024,-464
,,40 to 44 years,2014 / 2015,-204
,,,2015 / 2016,-116
,,,2016 / 2017,-208
,,,2017 / 2018,-277
,,,2018 / 2019,-304
,,,2019 / 2020,-353
,,,2020 / 2021,-205
,,,2021 / 2022,-448
,,,2022 / 2023,-499
,,,2023 / 2024,-307
,,45 to 49 years,2014 / 2015,-201
,,,2015 / 2016,-153
,,,2016 / 2017,-144
,,,2017 / 2018,-171
,,,2018 / 2019,-158
,,,2019 / 2020,-184
,,,2020 / 2021,-148
,,,2021 / 2022,-327
,,,2022 / 2023,-353
,,,2023 / 2024,-213
,,50 to 54 years,2014 / 2015,-179
,,,2015 / 2016,-137
,,,2016 / 2017,-134
,,,2017 / 2018,-174
,,,2018 / 2019,-159
,,,2019 / 2020,-173
,,,2020 / 2021,-150
,,,2021 / 2022,-185
,,,2022 / 2023,-246
,,,2023 / 2024,-124
,,55 to 59 years,2014 / 2015,-258
,,,2015 / 2016,-220
,,,2016 / 2017,-92
,,,2017 / 2018,-121
,,,2018 / 2019,-107
,,,2019 / 2020,-126
,,,2020 / 2021,-114
,,,2021 / 2022,-157
,,,2022 / 2023,-143
,,,2023 / 2024,-73
,,60 to 64 years,2014 / 2015,-19
,,,2015 / 2016,-5
,,,2016 / 2017,-59
,,,2017 / 2018,-89
,,,2018 / 2019,-75
,,,2019 / 2020,-89
,,,2020 / 2021,-72
,,,2021 / 2022,-74
,,,2022 / 2023,-90
,,,2023 / 2024,-39
,,65 to 69 years,2014 / 2015,15
,,,2015 / 2016,28
,,,2016 / 2017,-69
,,,2017 / 2018,-43
,,,2018 / 2019,-53
,,,2019 / 2020,-60
,,,2020 / 2021,-37
,,,2021 / 2022,-39
,,,2022 / 2023,-72
,,,2023 / 2024,-21
