Geography,Gender,Age group,Reference period,Net-migration
,,,2019 / 2020,-6
,,,2020 / 2021,-5
,,,2021 / 2022,2
,,,2022 / 2023,-1
,,,2023 / 2024,4
,,90 years and older,2014 / 2015,-9
,,,2015 / 2016,-6
,,,2016 / 2017,3
,,,2017 / 2018,4
,,,2018 / 2019,4
,,,2019 / 2020,3
,,,2020 / 2021,5
,,,2021 / 2022,-1
,,,2022 / 2023,5
,,,2023 / 2024,5
Prince Edward Island,Men,0 years,2014 / 2015,8
,,,2015 / 2016,12
,,,2016 / 2017,21
,,,2017 / 2018,23
,,,2018 / 2019,20
,,,2019 / 2020,22
,,,2020 / 2021,17
,,,2021 / 2022,8
,,,2022 / 2023,15
,,,2023 / 2024,4
,,1 year,2014 / 2015,8
,,,2015 / 2016,12
,,,2016 / 2017,11
,,,2017 / 2018,16
,,,2018 / 2019,15
,,,2019 / 2020,13
,,,2020 / 2021,11
,,,2021 / 2022,10
,,,2022 / 2023,11
,,,2023 / 2024,0
,,2 years,2014 / 2015,7
,,,2015 / 2016,7
,,,2016 / 2017,6
,,,2017 / 2018,8
,,,2018 / 2019,7
,,,2019 / 2020,10
,,,2020 / 2021,10
,,,2021 / 2022,17
,,,2022 / 2023,9
,,,2023 / 2024,3
,,3 years,2014 / 2015,3
,,,2015 / 2016,7
,,,2016 / 2017,0
,,,2017 / 2018,5
,,,2018 / 2019,3
,,,2019 / 2020,4
,,,2020 / 2021,5
,,,2021 / 2022,18
,,,2022 / 2023,8
,,,2023 / 2024,4
,,4 years,2014 / 2015,4
,,,2015 / 2016,6
,,,2016 / 2017,-2
,,,2017 / 2018,3
,,,2018 / 2019,1
,,,2019 / 2020,3
,,,2020 / 2021,1
,,,2021 / 2022,21
,,,2022 / 2023,1
,,,2023 / 2024,0
,,5 to 9 years,2014 / 2015,6
,,,2015 / 2016,17
,,,2016 / 2017,-14
,,,2017 / 2018,3
,,,2018 / 2019,-6
,,,2019 / 2020,-8
,,,2020 / 2021,-10
,,,2021 / 2022,60
,,,2022 / 2023,24
,,,2023 / 2024,3
,,10 to 14 years,2014 / 2015,-30
,,,2015 / 2016,-17
,,,2016 / 2017,4
,,,2017 / 2018,15
,,,2018 / 2019,5
,,,2019 / 2020,13
,,,2020 / 2021,5
,,,2021 / 2022,32
,,,2022 / 2023,-30
,,,2023 / 2024,-30
,,15 to 19 years,2014 / 2015,-49
,,,2015 / 2016,-33
,,,2016 / 2017,-28
,,,2017 / 2018,-45
,,,2018 / 2019,8
,,,2019 / 2020,62
,,,2020 / 2021,23
,,,2021 / 2022,23
,,,2022 / 2023,-4
,,,2023 / 2024,-13
,,20 to 24 years,2014 / 2015,-197
,,,2015 / 2016,-58
,,,2016 / 2017,59
,,,2017 / 2018,-28
,,,2018 / 2019,226
,,,2019 / 2020,501
,,,2020 / 2021,277
,,,2021 / 2022,29
,,,2022 / 2023,266
,,,2023 / 2024,54
,,25 to 29 years,2014 / 2015,-124
,,,2015 / 2016,-52
,,,2016 / 2017,38
,,,2017 / 2018,-21
,,,2018 / 2019,17
,,,2019 / 2020,43
,,,2020 / 2021,70
,,,2021 / 2022,-51
,,,2022 / 2023,-96
,,,2023 / 2024,-112
,,30 to 34 years,2014 / 2015,27
,,,2015 / 2016,67
,,,2016 / 2017,23
,,,2017 / 2018,-6
,,,2018 / 2019,17
,,,2019 / 2020,31
,,,2020 / 2021,44
,,,2021 / 2022,50
,,,2022 / 2023,51
,,,2023 / 2024,-20
,,35 to 39 years,2014 / 2015,-66
,,,2015 / 2016,-42
,,,2016 / 2017,29
,,,2017 / 2018,9
,,,2018 / 2019,10
,,,2019 / 2020,35
,,,2020 / 2021,55
,,,2021 / 2022,62
,,,2022 / 2023,59
,,,2023 / 2024,1
,,40 to 44 years,2014 / 2015,-29
,,,2015 / 2016,-6
,,,2016 / 2017,-14
,,,2017 / 2018,-34
,,,2018 / 2019,-29
,,,2019 / 2020,-23
,,,2020 / 2021,5
,,,2021 / 2022,57
,,,2022 / 2023,-6
,,,2023 / 2024,-17
,,45 to 49 years,2014 / 2015,26
,,,2015 / 2016,43
,,,2016 / 2017,2
,,,2017 / 2018,5
,,,2018 / 2019,1
,,,2019 / 2020,-18
,,,2020 / 2021,3
,,,2021 / 2022,0
,,,2022 / 2023,6
,,,2023 / 2024,-32
,,50 to 54 years,2014 / 2015,-4
,,,2015 / 2016,-9
,,,2016 / 2017,-3
,,,2017 / 2018,2
,,,2018 / 2019,-12
,,,2019 / 2020,-21
,,,2020 / 2021,-2
,,,2021 / 2022,29
,,,2022 / 2023,22
,,,2023 / 2024,-13
,,55 to 59 years,2014 / 2015,8
,,,2015 / 2016,17
,,,2016 / 2017,53
,,,2017 / 2018,56
,,,2018 / 2019,53
,,,2019 / 2020,48
,,,2020 / 2021,52
,,,2021 / 2022,104
,,,2022 / 2023,61
,,,2023 / 2024,37
,,60 to 64 years,2014 / 2015,18
,,,2015 / 2016,20
,,,2016 / 2017,7
,,,2017 / 2018,6
,,,2018 / 2019,7
,,,2019 / 2020,-15
,,,2020 / 2021,5
,,,2021 / 2022,112
,,,2022 / 2023,84
,,,2023 / 2024,56
,,65 to 69 years,2014 / 2015,50
,,,2015 / 2016,55
,,,2016 / 2017,24
,,,2017 / 2018,25
,,,2018 / 2019,22
,,,2019 / 2020,33
,,,2020 / 2021,40
,,,2021 / 2022,60
,,,2022 / 2023,52
,,,2023 / 2024,25
,,70 to 74 years,2014 / 2015,0
,,,2015 / 2016,8
,,,2016 / 2017,26
,,,2017 / 2018,26
,,,2018 / 2019,21
,,,2019 / 2020,32
,,,2020 / 2021,31
,,,2021 / 2022,38
,,,2022 / 2023,32
,,,2023 / 2024,19
,,75 to 79 years,2014 / 2015,13
,,,2015 / 2016,12
,,,2016 / 2017,-24
,,,2017 / 2018,-22
,,,2018 / 2019,-23
,,,2019 / 2020,-20
,,,2020 / 2021,-14
,,,2021 / 2022,12
,,,2022 / 2023,12
,,,2023 / 2024,3
,,80 to 84 years,2014 / 2015,-62
,,,2015 / 2016,-44
,,,2016 / 2017,3
,,,2017 / 2018,4
,,,2018 / 2019,3
